ProjectID	MeanFunding	Title	ProjectSummary
1004261	5000.0	Reaching Out to Bunkie General Hospital Using Information from NLM Electronic Health Resources	DESCRIPTION: The Bunkie General Hospital will use the funding to purchase computer equipments, so that patients will receive the latest electronic health information about their medical condition. Medical personnel will learn about the latest resources available online and their applications in new techniques such as evidenced based learning. LSUHSC-Shreveport Library staff will provide trainings on the NLM resources.
1004262	5000.0	Reaching Out to Homer Memorial Hospital Using Information from NLM Electronic Health Resources	DESCRIPTION: The Homer Memorial Hospital will use the funding to purchase computer equipments so patients will receive the latest electronic health information about their medical condition. Medical personnel will learn about the latest resources available online and their applications in new techniques such as evidenced based learning. LSUHSC-Shreveport Library staff will provide training on the NLM resources.
1004263	500.0	YWCA of Central Massachusetts Women's Authors Event	DESCRIPTION: Sponsorship Award of women's authors event promoted by Daybreak - proceeds will benefit the agency's domestic violence program
1004264	5033.333333333333	Supporting Clinical Care:An Institute in Evidence Based Care for Medical Librarians	DESCRIPTION: Express Outreach Sponsorship Award for a 2.5 day intro course designed by Medical Librarians for Medical Librarians on evidence based concepts.
1004265	1539.0	Development of a poster and Exhibiting for the RVHCC Health Information Project	DESCRIPTION: Sponsorship to develop a poster on the RVHCC Health Information Literacy Project and exhibiting at IHA Health Literacy, MLA and NAHSL
1004266	300.0	Rebranding Ourselves for the 21st Century- MAHSLIN 2009	DESCRIPTION: Sponsorship for the MAHSLIN Annual Meeting
1004267	13169.0	Spanish Peaks Health and Wellness Initiative	DESCRIPTION: The Spanish Peaks Library in conjunction with the Las Animas-Huerfano Counties District Health Department (LAHCDHD) will implement a health & wellness initiative program for the citizens of Huerfano County.  This program will include a health station at the library, which will help citizens of Huerfano County, facilitate access to healthcare related issues.  With this access, our community can become better educated about their own health and well being.  The use of media will be implemented by including healthcare books, magazines, educational videos, and posters.  These materials will be available for use, and a new topic will be displayed monthly.  Through these materials being available for public use, the community of Huerfano County will be empowered to take charge of their health and to be more attentive at healthcare visits and ask questions.  Most importantly, it will enable the population to have a better understanding of their individual disease processes and treatment, so they can live a longer, healthier life and contribute to this community.
1004269	757.0	Exhibit award - 2009 Allendale Community Leadership Institute	DESCRIPTION: The staff of the Medical University of South Carolina will exhibit at the Allendale Community Leadership Institute, June 19-20, 2009, Allendale, SC.  Hands on Health - SC and MedlinePlus will be highlighted.
1004270	4780.0	Tech Improvement Award: Purchasing a Web/Database Server	DESCRIPTION: Tech Improvement Award: Purchasing a Web/Database Server to Replace an Existing Server.  This project is to purchase a server capable of hosting the library's web site as well as multiple databases.
1004271	892.0	Exhibit award - 2009 Aiken Community Leadership Institute	DESCRIPTION: The staff of the Medical University of South Carolina Library will exhibit at the Aiken Community Leadership Institute, June 26-27, 2009,  Aiken, SC. Promotion of Hands on Health-SC and MedlinePlus are planned.
1004272	1356.0	Exhibit award - 2009 Tennessee Osteopathic Medical Association	DESCRIPTION: The staff of the Lincoln Memorial University Library will exhibit at the Tennessee Osteopathic Medical Association meeting, June 3-7, 2009, Chattanooga, TN. Demonstrations of NLM's evidence based practice and consumer health resources are planned. Loansome DOC sign up is planned also.
1004273	2500.0	Good Samaritan Clinic: Patient Centered Medical Home for the Uninsured	DESCRIPTION: The Good Samaritan Clinic, St Edward Mercy Medical Center and the University of Arkansas Medical School faculty will partner to provide healthcare education sessions for UAMS, AHEC Residents, healthcare workers, the general public, and the Good Samaritan's staff and volunteers. Chronic disease management for diabetes and hypertension plus introduction to NLM database resources will be the primary focus of each healthcare education session.
1004274	420.6666666666667	Enhancing McNeese Library Scanning	DESCRIPTION: The library will utilize the new equipment to better deliver DOCLINE requests via Ariel and other electronic delivery methods.
1004275	700.0	Small Projects Award- Vital Continuing Education for a Medical Librarian	DESCRIPTION: Participation in Evidence-Based Practice Institute for Medical Librarians, Aug 3-6, 2009 at Dartmouth College in Hanover, New Hampshire. REMARKS: Maryallison Farley library@crmcny.org 845-794-3300 Small Projects Award
1004276	14980.0	Together Prepared: Community of Health Information Award for Emergency Preparedness	DESCRIPTION: The purpose of this project is to provide improved access to disaster and emergency information for residents of Douglas County, Kansas, with a particular emphasis on assuring that vulnerable populations are served.  Project objectives will be accomplished by enhancing the role of the Lawrence Public Library as an information center for the public during an emergency and an outreach center for information related to disasters preceding them. To do this, the Lawrence Public Library will partner with the Lawrence-Douglas County Health Department, Douglas County Emergency Management, the University of Kansas Research and Training Center on Independent Living, and the community working group Together Prepared.   Objectives: The objectives of this project are to improve access to disaster information to residents of Douglas County, Kansas by: 1) Enhancing access to public health and preparedness resources through printed materials, staff assistance, Internet and a call center to community members before, during and after a disaster; 2) Developing a website, Together Prepared, that offers advice, information, resources, community linkages, health and safety information that can be used by the general population, but with an emphasis on services to vulnerable populations within the county; 3) Piloting a library outreach program using the library's mobile van that informs agencies, organizations and residences serving vulnerable populations about what to do before, during and following a disaster in Douglas County.
1004277	2000.0	Exhibit Award - 2009 Georgia Rural Health Association meeting	DESCRIPTION: The Georgia Statewide AHEC Network staff will exhibit at the Georgia Rural Health Association meeting, September 21-23, 2009, Young Harris, GA.  AHEC services, MedlinePlus, Georgia Go Local, and more will be showcased.
1004278	1950.0	Exhibit Award - Maryland Academy of  Physician Assistants meeting	DESCRIPTION: The staff of the University of Maryland Health Sciences and Human Services Library will exhibit at the 2009 Maryland Academy of Physician Assistants meeting, September 25-26, 2009, Ocean City, MD. A proposal to provide a workshop was submitted.
1004279	10000.0	Outreach Training Award- Senior Access to Health Information	DESCRIPTION: The Senior Access to Health Information Program is a program designed through the partnership of the HSS Kim Barrett Memorial Library and the HSS Greenberg Academy for Successful Aging with the two primary objectives: to integrate health information resources from the National Library of Medicine into the existing GASA community outreach and health education curriculum; and implement a series of computer training programs, age and information appropriate, for seniors that address computer literacy and accessing health information from NLM, the National Institute for Health and other credible health information sources. REMARKS: Timothy Roberts robertst@hss.edu 212-606-1210 Outreach Training Award
1004280	4900.0	Outreach Express: Alzheimer's Assn Green-Field Lib and Resource Ctr	DESCRIPTION: Outreach Express: Alzheimer's Association Green-Field Library and Resource Center (Chicago, IL).  This initiative will facilitate user-friendly access via a redesigned Website to full library services in a digital environment and will help our constituents find information about the clinical, scientific and social aspects of Alzheimer's or related dementia via multiple methods, including a self-service modality.
1004281	1000.0	Small Projects Award- Check the Pulse of Your Health Sciences Library- Library Open House	DESCRIPTION: Library Open House- May 29, 2009.  Our goal is to promote library resources and services to the medical and nursing staff of the hospital. Patrons will be introduced to the resources and services available at the library.  Workshops on searching MEDLINE and other medical databases will be offered during the day. REMARKS: Irina Meyman imeyman@lmcmc.com 718-630-7200 Small Projects Award
1004282	12483.5	Building Dynamic Partnerships in Public Health: Using Wiki Technology	DESCRIPTION: The primary emphasis of this project is to educate local public health agencies in the use of Web 2.0 technology and to develop a full-featured wiki platform for their use.  The library will identify and partner with agencies and individuals contributing to the health and welfare  of Tulsa and assist them in developing wikis for the purposes of project management, user education and information delivery.  Librarians will construct subject-based webliographies for the wikis as well, including significant surface and deep links to National Library of Medicine Resources.
1004283	5372.0	Community Day for Emergency Preparedness at the Curtis Memorial Library	DESCRIPTION: This collaboration of the library and CHIP with local and regional emergency management and healthcare/public health agencies aims to reach a broad audience and to disseminate emergency preparedness information.
1004284	1000.0	Small Projects Award- Promotion of medical library resources using USB flash drives	DESCRIPTION: USB flash drives will be handed out to students and faculty during the fall orientation.  The documents and links to be included on flash drives will be designed in the library and the customized flash drives will be ordered from an outside vendor. REMARKS: Konstantina Matsoukas km2056@columbia.edu 2123051411 Small Projects Award
1004285	2000.0	Exhibit award - 2009 Georgia Academy of Family Physicians Scientific Assembly	DESCRIPTION: The Mercer Medical Library staff will exhibit at the Georgia Academy of Family Physicians Annual Scientific Assemby, November 13-14, 2009, Atlanta, GA. Demonstrations of NLM online resources and Georgia Health - Go Local are planned.
1004286	12382.0	Grillo Senior Center Outreach Project	DESCRIPTION: The purpose of the Project is to increase health information literacy as a new service to the Boulder West Senior Center. This project will enhance access to health information for consumers with low health literacy.  The Grillo Health Information Center of the Boulder Public Library will partner with the City of Boulder West Senior Center to provide on-site health information resources to the targeted population of seniors who patronize the Senior Center.  A Grillo Center trained volunteer will be stationed, at least one day per week, with a laptop computer, at the West Senior Center location to assist seniors with finding reliable on-line health information. In addition, Grillo Center staff will conduct educational activities, including question-and-answer sessions and one-on-one interviews at the West Senior Center Project Site to increase awareness, motivation, knowledge, and use of health information resources. Project staff will also conduct at least one training session for Senior Center staff to assure continuation of information access support when Grillo Center staff are not present.
1004287	13000.0	RL Yr 04: TX A and M Health Info for Veterinarians, Youths, Seniors	DESCRIPTION: The Texas A&M Medical Sciences Library (MSL) will provide outreach services to its 22-county area in east central Texas.  The goal of this project is to provide training on and awareness of NLM products and MSL services to health professionals  and consumers.  This year, MSL will focus on veterinarians, school health professionals and rural health providers through conference exhibits.   The library will conduct instruction sessions for health professionals and consumers in Central Texas on appropriate NLM resources. Finally, MSL will target area health consumers via several local health fairs in order to increase awareness of MedlinePlus and Go Local.
1004288	13000.0	RL Yr 04: UTHSCSA RIO: Rural Information Outreach	DESCRIPTION: The UT Health Science Center San Antonio Libraries will provide outreach services to health professionals, hospitals, librarians, community health workers, and consumers in a 33-county area of South and South Central Texas. Outreach efforts will include instructional sessions on the National Library of Medicine's resources for health professionals and consumers in the South Texas region. In addition, the UT Health Science Center Libraries will develop new partnerships with community-based organizations in the areas surrounding San Antonio, Laredo, and Harlingen. Finally, the libraries plan to exhibit at health fairs and health professional conferences to promote National Library of Medicine databases. The Libraries will make particular efforts during this contract year to target health professionals and health care consumers in rural areas within the designated service area in South and South Central Texas.
1004289	12999.0	RL Yr 04: TTUHSC Reaching West Texas 4 Health	DESCRIPTION: The Texas Tech University Health Sciences Center Preston Smith Library of the Health Sciences will promote the services, databases, and resources of the National Library of Medicine to consumers, healthcare workers, college and university students, high school students, public libraries, social workers and support groups in ninety-three counties in West Texas by offering classes and demonstrations and by conducting exhibits at health fairs and professional meetings.  Staff from the four library locations in Amarillo, El Paso, Lubbock, and Odessa will demonstrate MedlinePlus to senior citizens, high school students, public librarians, college and university students, social workers, and the general public.  They will also conduct classes in PubMed for nurses, physicians, and other healthcare workers.  The TTUHSC Libraries will partner with organizations that provide family support services in order to determine the health information needs of single mothers in the Lubbock area.
1004290	13000.0	Health Information Outreach: Reaching Arkansans County by County	DESCRIPTION: The University of Arkansas for Medical Sciences (UAMS) Library aims to provide outreach services and health-related information to all citizens of the state. The Health Information Outreach: Reaching Arkansans County by County project has three goals - A) Promote awareness and use of NLM products and state-specific resources such as ARHealthLINK - Arkansas Go Local; B) Offer training classes and demonstrations on PubMed, MedlinePlus, and other NLM resources; and C) Provide continuing education opportunities for Arkansas librarians and health professional communities.
1004291	13000.0	Health Information Collaborations from North to South	DESCRIPTION: The UNM Health Sciences Library and Informatics Center (HSLIC) will collaborate with the New Mexico State Library in Santa Fe and with the U.S.-Mexico Border Libraries Consortium.  The New Mexico State Library will partnership is the Consumer Health Information for New Mexico Public Libraries project.  HSLIC will lead this project to conduct a health information assessment, a series of trainings (combination of in-person classes and Webinars), the development of a health information space on the State Library's Web site, and follow-up maintenance of skills and knowledge for 139 public, military, and tribal libraries as well as bookmobiles. HSLIC will also participate in the U.S.-Mexico Border Libraries Consortium to promote border clinicians' practice of evidence-based medicine as part of the Centers of Excellence 2009 focus. Throughout the subcontract period, HSLIC will engage in selected training and promotional activities that address the health information needs of healthcare providers, health consumers, and librarians in New Mexico.
1004293	1962.0	Exhibit Award - 2009 Georgia Nurses Association	DESCRIPTION: The staff of the Mercer Medical Library will exhibit at the Georgia Nurses Assocation Convention and Membership Assembly, October 7-9, 2009, Athens, GA.  Exhibit staff will demonstrate NLM resources and Georgia Health - Go Local.
1004294	13000.0	Health Educator Outreach Initiative (RL UNTHSC)	DESCRIPTION: The University of North Texas Health Science Center Library in cooperation with the American Heart Association, South Central Affiliate will collaborate to develop an interagency health education initiative, incorporating the educational resources of the two national agencies: The National Library of Medicine (NLM) and the American Heart Association (AHA). Public health practitioners throughout North Texas and surrounding counties will be taught how to locate and access the information resources and educational services developed by each agency. Public Health Practitioners may subsequently utilize the information sources and resources presented by each agency in their role as public health educators. Additionally, NLM resources will also be promoted to health educators serving as school counselors as they attend their national meeting of the ‘American School Counselor Association' in Dallas, Texas. The Lewis Library will furnish an exhibit booth at this annual meeting to raise awareness of NLM educational resources that may be utilized when educating elementary and secondary school students. Lastly, a symposium will be held to increase researcher, faculty and librarian awareness of scholarly communication issues, intellectual property concerns and publishing options for authors and information professionals.
1004295	13000.0	Health Literacy Outreach in the Dallas Area (RL - UTSW)	DESCRIPTION: This project targets three major groups: (1) healthcare professionals who provide care to indigent, minority, underserved, or rural populations, (2) the general public, including public librarians and senior citizens and (3) students interested in health related professions. Classes will be taught on searching via PubMed, including locating evidence based medicine and locating consumer health information in English and Spanish using MedlinePlus and other selected NLM databases.
1004296	13000.0	Developing Consumer Health Materials in Video and Podcast Format in Chinese, Vietnamese and Spanish	DESCRIPTION: This project will target consumers and health professionals. Consumer health materials in podcast and digital video formats will be developed in three different languages to meet the information needs of patients at the Helping Other People through Encouragement (HOPE) Clinic.  Consumers will also be provided with training on using MedlinePlus and other NLM products.  Finally, exhibits will be conducted at a variety of health fairs and professional conferences
1004297	13000.0	RL Yr 04: OU OKC New Horizons for Health Information Outreach in Oklahoma	DESCRIPTION: The University of Oklahoma Health Sciences Center (OUHSC) Robert M. Bird Health Sciences Library will complete a pilot project and several additional outreach activities.  In the pilot project, OUHSC librarians will purchase and implement an audience response system (clickers) for use with outreach activities such as exhibits, classes, presentations, symposiums and webcasts in order to provide additional opportunities for participants to become actively engaged in these activities.  The Bird Library will also complete a variety of additional outreach activities including developing and presenting classes to unaffiliated groups, exhibiting at conferences and/or health fairs, and hosting webcasts sponsored by the Medical Library Association for area health librarians and other interested parties.
1004298	12918.0	RL Yr 04: OU-Tulsa Teachable Moments and Human Contact	"DESCRIPTION: Through a series of initiatives, the University of Oklahoma-Tulsa Library will perform outreach and education to several populations of users in the greater Tulsa region and Green Country territory of Oklahoma. Projects include: training in expert search techniques for Cherokee Nation health providers; a lecture and panel discussion to accompany the visiting ""Changing Face of Medicine"" exhibit; enhancement of services and training with community based organizations in Tulsa; and document delivery services to underserved medical professionals in the greater Tulsa area. These opportunities will allow the Library to put a human face on our outreach efforts while taking best advantage of the ""teachable moments"" these contacts will provide."
1004299	13000.0	RL Yr 04: OSU Medical Library Health Information Access Outreach Program 2009 - 2010	DESCRIPTION: The Oklahoma State University Center for Health Sciences Medical Library will do a varied mixture of demonstrations, classes, MLA teleconferences, exhibits, web page development.  PubMed and MedlinePlus demonstrations will be given to the Visiting Nurse Association of Tulsa, Teen Living Program at Union Public Schools, and Neighbors Along the Line.  Classes on the use of PubMed, MedlinePlus, and LoansomeDoc for health care professionals will be taught at unaffiliated clinics serving Native Americans in Tulsa County and Okmulgee County. An MLA teleconference will be sponsored in November of 2008 for unaffiliated librarians and other community healthcare professionals.  The exhibits will be held at professional health conferences and consumer health fairs and will focus on describing and demonstrating PubMed, MedlinePlus, and other NLM services and programs.  Web page development will be a partnership project with the two University of Oklahoma medical libraries to develop a Go Local Site for Oklahoma.
1004306	12500.0	Consumer Health Information Project	DESCRIPTION: The primary goal of this project is to increase the knowledge and use of currently available disability resources and electronic health information for health professionals, families and consumers.  This will be accomplished through a series of hands on trainings focusing on specific databases on health information about disabilities.  The target population for the project includes family specialists, consumers and families that have a child or children with developmental disabilities; including autism spectrum disorder, which represents a growing population needing up to date and reliable information.
1004307	12500.0	TECNO: Technology-Enhanced Community Neighborhood Organization	DESCRIPTION: Edgewood Family Network will collaborate with University of Texas Health Science Center at San Antonio to prepare a cadre of minority youth (Tekkies) to provide consultations on information technology and health information for families residing in a high-priority community in San Antonio, TX; raise awareness among minority youth of career opportunities in health professions; and to raise awareness among members of San Antonio's city council of the need to foster access to and use of computers with Internet connections for residents in high-priority communities within San Antonio.
1004308	12500.0	Vietnamese Civic Center - Consumer Health Collaborative	DESCRIPTION: In this project the Houston Academy of Medicine-Texas Medical Center Library will advance their goal of promoting the consumer health resources of the NLM to the staff and clients of the Vietnamese Civic Center (VNCC) by placing three Internet-capable computers and one shared printer in the VNCC Library; placing advertisements promoting the VNCC and the NLM consumer health resources in the local area Vietnamese-language newspapers and radio stations; developing a bilingual webpage on the VNCC website for the Library which links to the NLM consumer health resources; and producing a promotional item available for giveaway to clients and patients of the VNCC.  In addition, they will train the VNCC staff members and clients to use the resources of the NLM such as MedlinePlus by conducting a series of train-the trainer classes and staffing booths at local health fairs in Houston's Asian community.
1004309	4980.0	Technology Awareness Award - East Tennessee State University	DESCRIPTION: The staff of the ETSU Quillen Medical Library will host a technology fair. They will have invited speakers and exhibits of new technology.
1004310	1580.0	Exhibit Award - Fiesta 2009, Birmingham, AL	DESCRIPTION: The Alabama Health Libraries Association will exhibit at Fiesta 2009 in Birmingham, AL in October. Exhibit staff will promote MedllinePlus and Health InfoNet of Alabama.
1004311	2497.0	Healthwatch: Medical Educational Databases for Informed Choices (MEDIC)	DESCRIPTION: The goal of this project is to teach classes on NLM databases to educate seniors, the economically disadvantaged, indigent and minority residents in the Houston and Trinity Gardens areas and members of Forest Lawn Church about prominent health issues to enable them to make better health choices.  The services provided by Healthwatch: MEDIC will take place in the Forest Lawn church computer lab.  The community will be trained and have access to classes once a month coinciding with senior meetings at the church.  Healthcare monitoring (blood pressure, blood sugar screening, dental exams, etc.) will take place four times a year at which time, community members will also have access to computers. The church has fellowship and meetings with eight area churches whose members will also be offered the classes.
1004312	600.0	Training Award - Three Rivers AHEC PTSD training	DESCRIPTION: The Three Rivers AHEC will present two training sessions on post traumatic stress disorder for returning veterans at the Georgia Rural Association meeting, September 22, 2009, Young Harris, GA.
1004314	4900.0	Tech Improvement Award: Stromberg Medical Library OPAC Project	DESCRIPTION: Tech Improvement Award: Stromberg Medical Library OPAC Project.  By installing a new system of bar code identification, it will simplify and increase patron access to the library collection, reduce library loss, increase amount of time librarian has to do literature searches, etc.
1004315	26327.0	Public Health Subcontract: Access to Health Info for At-Risk Maternal/Child Population	DESCRIPTION: Public Health Subcontract: Access to Health Information for At-Risk Maternal/Child Population.  The purpose of this project is to increase access to health information to the at-risk maternal/child population of DuPage County.  The plan is to increase computer access to the serving population by setting up computer kiosks at the five DuPage County Health Department sites in DuPage County where services are provided.  Clients will be educated how to use computers and how to access multilingual, multicultural health information on websites of MEDLINEplus, the College of DuPage Library and others.
1004316	4892.0	Outreach Express: Expanding Multi-lingual Hlth Info for Immigrants and Refugees	DESCRIPTION: Outreach Express: Expanding Multi-lingual Health Information for Immigrants and Refugees.  The purpose of this project is to translate the scripts of five previously designed health and nutrition education PowerPoint presentations, designed specifically for use in refugee health promotion, into four target refugee languages, using translators from Heartland Alliance Cross-Cultural Interpreting Services.
1004317	2484.5	OU-Tulsa Library Health Information Kiosk Project	DESCRIPTION: The University of Oklahoma-Tulsa Library will provide a state of the art health information kiosk in the OU-Tulsa Schusterman Clinic Diabetes Center.  The kiosk will link the Center's patients, family members and friends to the quality online consumer health information resource, MedlinePlus, and other resources produced by the National Library of Medicine and the National Institutes of Health.  Librarians will design a kiosk home page with links and instructions for using the system and clinic staff will be trained to assist patients with basic kiosk questions. Clinic patients will be encouraged to contact the OU-Tulsa Library with further questions or health information needs.
1004318	4087.5	A Place at the Table: The Librarian's Role in Evidence Based Health Care	DESCRIPTION: This symposium is designed to familiarize health librarians with the basics of evidence based health care (EBHC); the reasons for the current emphasis on EBHC in clinical practice and health research; methods for incorporating EBHC into the curriculum and clinical care; and services required of health librarians to meet the information needs of researchers and practitioners involved with EBHC.
1004319	1894.0	Exhibit award - 2009 Alabama Chapter, American Physical Therapy Association	DESCRIPTION: Staff from the University of South Alabama will exhibit at the 2009 annual conference of the Alabama Chapter, American Physical Therapy Association, August 21-22, 2009, Birmingham, AL. Judy burnham will be a co-presenter at a session on Web 2.0 tools for physical therapy.
1004320	6000.0	Express Planning and Assessment Award - Alabama Health Libraries Association	"DESCRIPTION: The Alabama Health Libraries Association will holding a planning session for members in September, 2009, in Mobile to  o	Increase awareness of the need for disaster preparedness and service continuity plan in Alabama libraries  o	Identify current institutional disaster preparedness and recovery programs within the state o	Build awareness of resources available among participants to encourage library disaster preparedness and services continuity plans o	Discuss on the state-wide disaster preparedness and services continuity plan.  AlHeLA officers and SE/A representatives will lead the sessions and discussions."
1004321	1828.0	Exhibit award - Hispanic Festival and Health Fair 2009, Mayo, FL	DESCRIPTION: The Three Rivers Regional Library System will host an Hispanic Festival and Health Fair, October 4, 2009 in Mayo FL. Twenty-three exhibitors from area medical facilities, universities and cultural organizations will attend. Demonstrations and promotion of health information products are planned.
1004322	1750.0	Exhibit Award - 2009 Black Family Reunion Celebration	DESCRIPTION: The staff of the George Washington University Himmelfarb Library will exhibit at the 2009 Black Family Reunion Celebration, Washington, DC, September 12-13, 2009.  Healthy DC 0 Go Local and other NLM resources will be demonstrated.
1004323	30000.0	The Wall Las Memorial Project - Pláticas (Community Discussion) Project	DESCRIPTION: Project Pláticas is a community-based project which has relationships with faith-based organizations and a wide variety of Latino populations in the greater Los Angeles community. The project is designed to teach people to access accurate information from the National Library of Medicine and other reputable resources. The Wall Las Memorias, Inc. will conduct training sessions for all to be able to find and access all available HIV/AIDS information and resources that can be of use to the target populations. This effort will also include country-wide training of HIV/AIDS providers on cultural sensitivity in the delivery of HIV health and mental health services. Project Pláticas will also provide print versions of the most relevant HIV/AIDS information and develop specific educational resources that specifically meet the needs of the clients of The Wall Las Memorias, Inc. and its surrounding community.
1004324	30000.0	AIDS Information and Outreach in the Virtual World of Second Life	DESCRIPTION: The Alliance Library System (ALS) is a regional multi-type consortium with 260 public, academic, school, corporate and medical libraries in central Illinois.  The ALS will collaborate with other health agencies in the virtual world of Second Life to create a community library/resource center for people of all ages who are infected and affected by HIV/AIDS, as well as their family and friends, health professionals, and librarians. The virtual world will contain tutorials, news feeds, links to current awareness searches in PubMeds, links to NLM resources about HIV/AIDS, AIDS.gov, and other resources. There will also be narratives about the experiences that come with having, or knowing someone with HIV/AIDS.
1004325	1.0	Improving Access to HIV/AIDS Health Information to Baltimore Youth through the STAR TRACK Program	DESCRIPTION: The goal of the STAR TRACK program is to help prevent the spread of HIV/AIDS by educating youth between the ages of 12 and 24 in the Baltimore area regarding HIV/AIDS prevention and the use of HIV/AIDS information resources and services in the community.  STAR TRACK will also develop culturally appropriate brochures and increase the awareness and utilization of online resources such as MedlinePlus.gov, AIDSinfo.gov, and Maryland Health Go-Local (through MedlinePlus.gov).
1004326	7000.0	2009 Conference for Promotores de Salud	DESCRIPTION: Coinciding with Bi-National Health week, the 2009 Conference for Promotores de Salud will provide learning opportunities for community health workers in the Rio Grande Valley Border Region.  Community health workers, aka promotores de salud, will attend sessions that address healthy living, nutrition, exercise, alternative medicine and health literacy.  The program will also include sessions that promote awareness of information resources from the National Library of Medicine.  The conference will also provide participants an opportunity to network with local organizations to promote access to culturally appropriate health information
1004327	2500.0	The Chinese Community Center - Consumer Health Collaborative	DESCRIPTION: This project will provide a computer for the Chinese Community Center, located in Houston TX.  Staff and clients at the community center will be provided with training on accessing NLM databases such as MedlinePlus, Go Local, NIH Senior Health and Asian American Health
1004328	2211.0	Technological Upgrade of the AID Atlanta Client Resource Room	DESCRIPTION: AID Atlanta, Inc. is updating the technological resources of their Client Resource Room. With the update of this equipment, AID Atlanta will be able to continue to provide the community with one-on-one and group trainings regarding computer literacy and how to access HIV/AIDS information resources and services on the internet.
1004330	59907.0	San Diego HIV/AIDS Health Information Literacy Service	DESCRIPTION: The Pacific College of Oriental Medicine has partnered with the San Diego Public Library, The Center, San Diego County LGBT community based organization, the Third Avenue Charitable Organization of Lutheran Church of San Diego, the PCOM Clinical Education Department and its community off-site clinics to develop the San Diego HIV/AIDS Health Information Literacy Service. The San Diego HIV/AIDS Health Information Literacy service is an outreach program to teach both health professionals and people and the community how to use the National Library of Medicine's databases to find HIV/AIDS and related health information. The program is specifically targeted towards those who are infected, affected or at risk for HIV/AIDS, health professionals, clinical interns, public health, librarians, and staff and users of community and faith based organizations that provide services to HIV/AIDS patients and their families. This program will bridge the information gap for a public of diverse ethnic and cultural backgrounds and the professionals that serve the afflicted by providing authoritative information resources.
1004331	59998.0	"Salud es Cultura: ""Protégete"" Project (Health is Culture: Protect Yourself!)"	"DESCRIPTION: The goal of the ""Salud es Cultura: ¡Protégete!"" HIV/AIDS prevention education project is to provide training and HIV/AIDS education and training materials for community health workers (promotores de salud) from over 25 community based organizations utilizing a tested culturally and linguistically appropriate HIV/AIDS intervention curriculum developed for the Latino community. Through the implementation of this project, the Center aims to: 1) Disseminate ""Salud es Cultura: ¡Protégete!"" Project Toolkits to CBOs seeking to develop new, or augment existing HIV/AIDS education programs targeting Latinos; 2) Conduct regional trainings; and 3) Develop and maintain an interactive resource web-page to facilitate request and downloading of Salud es Cultura: ¡Protégete! Project materials as well as links to other HIV/AIDS-related National Library of Medicine resources."
1004332	1.0	Improving HIV/AIDS Health Information Use and Access for HIV/AIDS Health Care Professionals, Patient	DESCRIPTION: The goal of the SHINE (Statewide HIV/AIDS Information Network) Project is to improve HIV/AIDS health information use and access for HIV/AIDS health care professionals, patients and the affected communities. Previously funded by NLM in 2007, the project continuation will use the SHINE website to explore Web 2.0 technologies (podcasts, RSSS feeds, blogs, etc) to deliver information, training sessions on information access and retrieval, and to enhance document access. The project will continue to increase the awareness and utilization of the National Library of Medicine online health and medical resources, as well as SHINE project resources, to the HIV/AIDS community through exhibits and presentations.
1004333	29870.0	Southeast Georgia AIDS Information Link (SEaGAIL)	DESCRIPTION: SEaGAIL serves rural, medically underserved southeast Georgia, and the project aims to improve access to HIV/AIDS related information by libraries, health professionals, community-based organization staff and persons affected by HIV/AIDS through improved access to electronic and print resources and training. The project will provide links from the SEaGAIL website to Georgia Public Information Network for Electronic Services (PINES), PubMed, and MedlinePlus and will also train librarians, health professionals, and others on accessing electronic HIV/AIDS information. In addition, MCAHEC will expand the collection of existing web-based tutorials in English and Spanish to train HIV/AIDS affected consumers and others on retrieval of HIV/AIDS information through the SEaGAIL website and the National Library of Medicine online resources.
1004334	1.0	Developing HIV Leaders in the Philadelphia Shelters	DESCRIPTION: The AIDS Library is developing a network of HIV Coordinators in the Philadelphia Shelter System. The Developing HIV Leaders in the Philadelphia Shelters program was put in place to train the coordinators in essential life-saving HIV prevention and treatment information and locating print and online resources for shelter staff and residents. The AIDS Library seeks to address the needs of those who have unstable housing by developing the capacity of the shelters staff to recognize the risks of shelter residents and the needs of those diagnosed with HIV. The program is being developed for 30 shelters in the Philadelphia area.
1004335	13000.0	Health Info to Jeff Parish School Nurses, Consumers and Health Professionals: A Continuous Effort	DESCRIPTION: In Yr 4 RL Outreach Subcontract, the Louisiana State University Health Sciences Center (LSUHSC) - New Orleans Libraries will focus primarily on classes, demonstrations, webcasts and exhibits.  Target groups include:  school nurses, a community based organization, area health sciences librarians and a diverse group of consumers and health professionals.
1004336	13000.0	Making the Wellness and Kids' Health Connection in North Louisiana 2009-2010	DESCRIPTION: In Yr 4 of the RL Outreach Subcontract, the Louisiana State University Health Sciences Center - Shreveport (LSUHSC-S) Library will provide outreach services to several target audiences:  (1) public library staff and patrons, (2) children and parents who are public library patrons, and (3) college and high school students.  The focus of online training sessions will be on kids' health and wellness resources provided through the National Library of Medicine (NLM) and other reliable online sources of consumer health information.  In addition, the Library will develop promotional materials to publicize NLM resources and services and will maintain the healthelinks Web site (http://www.healthelinks.org), adding a Kids' Health section for easy access to quality consumer health information that would be useful as parents seek information related to their children's health.
1004337	20000.0	Diabetes Health Education-Cape Cod Outreach Project	DESCRIPTION: A series of classes will be presented to patients & their families.  In addition, the Hospital's librarian will train 12 clinical staff on the use of NLM resources.
